refcat,m2,label,destacar,multipoligono
45155A00700036,2367,00036,si,no
45155A00700037,2024,00037,si,no
45155A00700038,3877,00038,si,no
45155A00700039,3775,00039,si,no
45155A00700040,4613,00040,si,no
45155A00700041,902,00041,si,no
45155A00700042,1048,00042,si,no
45155A00700043,728,00043,si,no
45155A00700044,723,00044,si,no
45155A00700045,706,00045,si,no
45155A00700058,898,00058,si,no
45155A00700059,1599,00059,si,no
45155A00700064,997,00064,si,no
45155A00700065,653,00065,si,no
45155A00700068,945,00068,si,no
45155A00700073,552,00073,si,no
45155A00700074,1314,00074,si,no
45155A00700086,632,00086,si,no
45155A00700088,642,00088,si,no
45155A00700089,551,00089,si,no
45155A00700098,2194,00098,si,no
45155A00700152,17166,00152,si,no
45155A00700154,32367,00154,si,no
45155A00700155,102205,00155,si,no
45155A00700156,77882,00156,si,no
45155A00700157,86205,00157,si,no
45155A00700160,28507,00160,si,no
45155A00700161,34483,00161,si,no
45155A00700162,30826,00162,si,no
45155A00700169,30888,00169,si,no
45155A00700170,35093,00170,si,no
45155A00700171,36155,00171,si,no
45155A00700172,78911,00172,si,no
45155A00700173,64545,00173,si,no
45155A00700174,69399,00174,si,no
45155A00700175,22154,00175,si,no
45155A00700176,38166,00176,si,no
45155A00700177,38124,00177,si,no
45155A00700178,38206,00178,si,no
45155A00700179,96140,00179,si,no
45155A00700180,2066,00180,si,no
45155A00700181,1419,00181,si,no
45155A00700182,2057,00182,si,no
45155A00700183,1136,00183,si,no
45155A00700185,31699,00185,si,no
45155A00700186,4801,00186,si,no
45155A00700187,52395,00187,si,si
45155A00700188,52395,00188,si,si
45155A00700189,52395,00189,si,si
45155A00700190,3303,00190,si,no
45155A00710175,15348,10175,si,no
45155A00800003,4822,00003,si,no
45155A00800004,20287,00004,si,no
45155A00810005,583276,10005,si,no
45155A00820005,36800,20005,si,no
45155A00830005,58365,30005,si,no
2P45045P04CAZA,810361,45,si,no
2068501UK5326N,2955,01,si,no
2069401UK5326N,913,01,si,no
2140101UK5324S,79588,01,si,no
2140102UK5324S,29459,02,si,no
2152102UK5325S,1012,02,si,no
2152103UK5325S,703,03,si,no
2152106UK5325S,1594,06,si,no
2152107UK5325S,3141,07,si,no
2152108UK5325S,15817,08,si,no
2152110UK5325S,50346,10,si,no
2152111UK5325S,458461,11,si,no
2152112UK5325S,25666,12,si,si
2152113UK5325S,25660,13,si,si
2152114UK5325S,25666,14,si,si
2152115UK5325S,5102,15,si,no
2169901UK5326N,1284,01,si,no
2169902UK5326N,2572,02,si,no
2169903UK5326N,4446,03,si,no
2170801UK5327S,723,01,si,no
2170802UK5327S,760,02,si,no
2228101UK5322N,324301,01,si,no
2228102UK5322N,13746,02,si,no
2266302UK5326N,1562,02,si,no
2266303UK5326N,940,03,si,no
2266311UK5326N,834,11,si,no
2266319UK5326N,3708,19,si,no
2266322UK5326N,507,22,si,no
2268501UK5326N,1007,01,si,no
2268901UK5326N,4231,01,si,no
2268902UK5326N,3777,02,si,no
2269101UK5326N,2365,01,si,no
2269401UK5326N,1195,01,si,no
2269402UK5326N,887,02,si,no
2270107UK5327S,520,07,si,no
2270108UK5327S,523,08,si,no
2270405UK5327S,1582,05,si,no
2271507UK5327S,594,07,si,no
2271511UK5327S,820,11,si,no
2271512UK5327S,1009,12,si,no
2271513UK5327S,811,13,si,no
