refcat,refcat_parcela,municipio,sigla_via,via,planta,puerta,escalera,clase_bien,uso,clave_uso,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,base_liquidable_eur,tipo_impositivo,cuota_ibi_eur,exento,bonificado,tasa_basura_eur,tasa_basura_registros,tiene_padron_tasas
2470502UK5327S0001WY,2470502UK5327S,SAN ROMAN DE LOS MONTES,CL,REINA SOFIA 0046,OD,OS,T,UR,Residencial,V,26863.20,8414.68,18448.52,26863.20,0.42,112.83,N,,50.00,1,1
2470507UK5327S0001QY,2470507UK5327S,SAN ROMAN DE LOS MONTES,CL,REINA SOFIA 0028,OD,OS,T,UR,Residencial,V,8853.32,1743.01,7110.31,8853.32,0.42,37.18,N,,50.00,1,1
3252616UK5335S0001TX,3252616UK5335S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 6R 0099,OD,OS,T,UR,Residencial,V,139223.08,16790.37,122432.71,139223.08,0.42,584.74,N,,,0,0
3737412UK5333N0001FE,3737412UK5333N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0224,OD,OS,T,UR,Residencial,V,55083.64,16425.03,38658.61,55083.64,0.42,231.35,N,,50.00,1,1
2371209UK5327S0001BY,2371209UK5327S,SAN ROMAN DE LOS MONTES,CL,VIRGEN DEL BUEN CAMINO 0010,OD,OS,T,UR,Residencial,V,21817.89,2318.31,19499.58,21817.89,0.42,91.64,N,,50.00,1,1
4918802UK5341N0001FL,4918802UK5341N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SG 0039,OD,OS,T,UR,Residencial,V,71371.67,18406.17,52965.50,71371.67,0.42,299.76,N,,50.00,1,1
3737415UK5333N0001KE,3737415UK5333N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0207,OD,OS,T,UR,Residencial,V,88812.85,13479.35,75333.50,88812.85,0.42,373.01,N,,50.00,1,1
4816820UK5341N0001TL,4816820UK5341N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SI 0001,OD,OS,T,UR,Residencial,V,50897.82,16748.20,34149.62,50897.82,0.42,213.77,N,,50.00,1,1
4719733UK5341N0001XL,4719733UK5341N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SE 0013,OD,OS,T,UR,Residencial,V,71265.31,20036.02,51229.29,71265.31,0.42,299.31,N,,50.00,1,1
3859407UK5335N0001XF,3859407UK5335N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 8R 0497,OD,OS,T,UR,Residencial,V,65058.35,14366.65,50691.70,65058.35,0.42,273.25,N,,50.00,1,1
4121903UK5342S0001XZ,4121903UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SB 0000,OD,OS,T,UR,Residencial,V,61777.23,38093.31,23683.92,61777.23,0.42,259.46,N,,,0,0
3932307UK5333S0001BA,3932307UK5333S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0319,OD,OS,T,UR,Residencial,V,71836.99,21578.79,50258.20,71836.99,0.42,301.72,N,,50.00,1,1
3947403UK5334N0001WB,3947403UK5334N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 7R 0241,OD,OS,T,UR,Residencial,V,61411.78,15715.48,45696.30,61411.78,0.42,257.93,N,,50.00,1,1
4421119UK5342S0001FZ,4421119UK5342S,SAN ROMAN DE LOS MONTES,AV,PLAYA 0042,OD,OS,T,UR,Residencial,V,31508.69,2704.69,28804.00,31508.69,0.42,132.34,N,,50.00,1,1
2371605UK5327S0001MY,2371605UK5327S,SAN ROMAN DE LOS MONTES,CL,REINA SOFIA 0015,OD,OS,T,UR,Residencial,V,53472.31,4435.72,49036.59,53472.31,0.42,224.58,N,,50.00,1,1
3737404UK5333N0001GE,3737404UK5333N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0232,OD,OS,T,UR,Residencial,V,91252.20,13007.24,78244.96,91252.20,0.42,383.26,N,,50.00,1,1
3615305UK5331N0001JG,3615305UK5331N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S2 0273,OD,OS,T,UR,Residencial,V,80696.05,12574.48,68121.57,80696.05,0.42,338.92,N,,,0,0
3830506UK5333S0001JA,3830506UK5333S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S3 0156,OD,OS,T,UR,Residencial,V,37232.60,13730.15,23502.45,37232.60,0.42,156.38,N,,50.00,1,1
4224921UK5342S0001XZ,4224921UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S1 0041,OD,OS,T,UR,Residencial,V,115615.82,27373.28,88242.54,115615.82,0.42,485.59,N,,50.00,1,1
3421108UK5332S0001ZJ,3421108UK5332S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S2 0186,OD,OS,T,UR,Residencial,V,77109.00,14467.80,62641.20,77109.00,0.42,323.86,N,,50.00,1,1
4624768UK5342S0001ZZ,4624768UK5342S,SAN ROMAN DE LOS MONTES,CL,MAR ALBORAN 0008,OD,OS,T,UR,Residencial,V,10957.23,4461.02,6496.21,10957.23,0.42,46.02,N,,,0,0
3932301UK5333S0001SA,3932301UK5333S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0262,OD,OS,T,UR,Residencial,V,56037.89,13661.29,42376.60,56037.89,0.42,235.36,N,,50.00,1,1
