refcat,n_unidades,uso_dominante,es_mixta,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,cuota_ibi_eur,n_exentos,n_bonificados,habitantes_estimados,densidad_hab_por_unidad,via_referencia
4520517UK5342S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11230.36,11230.36,0.00,47.17,0,0,0,0,UR SERR PLAYA SD 0051
4520514UK5342S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,13368.05,13368.05,0.00,56.15,0,0,0,0,UR SERR PLAYA SD 0054
4152605UK5345S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,10724.66,10724.66,0.00,45.04,0,0,0,0,UR SERR PLAYA S 8R 0365
2368617UK5326N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,13051.36,13051.36,0.00,54.82,0,0,0.48,0.48,CL TAHONA 0002
3748805UK5334N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11855.05,11855.05,0.00,49.79,0,0,0,0,UR SERR PLAYA S 7R 0215
3937107UK5333N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,5742.97,5742.97,0.00,24.12,0,0,0,0,UR SERR PLAYA S5 0297
4520510UK5342S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,9303.44,9303.44,0.00,39.07,0,0,0,0,UR SERR PLAYA SD 0047
4127215UK5342N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,9886.09,9886.09,0.00,41.52,0,0,0,0,UR SERR PLAYA S3 0114
4138704UK5343N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,22796.96,22796.96,0.00,95.75,0,0,0,0,UR SERR PLAYA S5 0280
4519801UK5341N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,26319.65,26319.65,0.00,110.54,0,0,1.4,1.4,UR SERR PLAYA DUPLES 0001
4224918UK5342S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11540.92,11540.92,0.00,48.47,0,0,0,0,UR SERR PLAYA S1 0038
4037710UK5343N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11747.78,11747.78,0.00,49.34,0,0,0,0,UR SERR PLAYA S5 0303
2449102UK5324N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,352.91,352.91,0.00,1.48,1,0,0,0,TN SECTOR 10 0129
2752103UK5325S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,124.75,124.75,0.00,0.52,1,0,0,0,TN SECTOR 10 0083
2862107UK5326S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,426.68,426.68,0.00,1.79,1,0,0,0,TN SECTOR 10 0086
4152623UK5345S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,4795.00,4795.00,0.00,20.14,0,0,0,0,UR SERR PLAYA S 8R 0004
4617816UK5341N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,10889.14,10889.14,0.00,45.73,0,0,0,0,UR SERR PLAYA SF 0007
3632403UK5333S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11400.42,11400.42,0.00,47.88,0,0,0,0,UR SERR PLAYA S5 0220
2568528UK5326N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,24553.29,24553.29,0.00,103.12,0,0,0.33,0.33,AV SERRANILLOS 0005
2568505UK5326N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,16358.80,16358.80,0.00,68.71,0,0,0,0,CL HUERTAS 0018
3853812UK5335S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,33007.79,33007.79,0.00,138.63,0,0,0,0,UR SERR PLAYA S 8R 0001
5123902UK5352S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,44541.16,44541.16,0.00,187.07,0,0,0,0,UR SERR PLAYA SH 0000
4056515UK5345N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,8092.97,8092.97,0.00,33.99,0,0,0,0,UR SERR PLAYA S 8R 0526
4447210UK5344N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,10574.12,10574.12,0.00,44.41,0,0,0,0,UR SERR PLAYA S 7R 0455
4331421UK5343S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11216.98,11216.98,0.00,47.11,0,0,0,0,UR SERR PLAYA S4 0092
3252608UK5335S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11541.50,11541.50,0.00,48.47,0,0,0,0,UR SERR PLAYA S 6R 0132
3830503UK5333S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,10463.72,10463.72,0.00,43.95,0,0,0,0,UR SERR PLAYA S3 0152
2571303UK5327S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,36800.06,36800.06,0.00,154.56,0,0,0.81,0.81,CL VIÑAS LAS 0001
3618906UK5331N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,9363.09,9363.09,0.00,39.32,0,0,0,0,UR SERR PLAYA S1 0060
3547216UK5334N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,12776.47,12776.47,0.00,53.66,0,0,0,0,UR SERR PLAYA S 6R 0086
2670105UK5327S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,8140.36,8140.36,0.00,34.19,0,0,0.03,0.03,CL HUERTAS 0010
3632424UK5333S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11318.47,11318.47,0.00,47.54,0,0,0,0,UR SERR PLAYA S5 0203
3547209UK5334N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11087.08,11087.08,0.00,46.57,0,0,0,0,UR SERR PLAYA S 6R 0145
4228823UK5342N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,12454.21,12454.21,0.00,52.31,0,0,0,0,UR SERR PLAYA S3 0136
4152615UK5345S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,6244.66,6244.66,0.00,26.23,0,0,0,0,UR SERR PLAYA S 8R 0012
4248614UK5344N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,7412.74,7412.74,0.00,31.13,0,0,0,0,UR SERR PLAYA S 8R 0434
3313516UK5331S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11685.33,11685.33,0.00,49.08,0,0,0,0,UR SERR PLAYA S2 0012
2752101UK5325S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,2161.23,2161.23,0.00,9.08,0,0,0,0,TN SECTOR 10 0085
4718707UK5341N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,11673.62,11673.62,0.00,49.03,0,0,0,0,UR SERR PLAYA S4 0001
3748826UK5334N,2,"Obras de urbanización y jardinería, suelos sin edificar",0,17490.62,17490.62,0.00,73.46,0,0,0,0,CL SP ALMENDROS 0168
3543815UK5334S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,14719.58,14719.58,0.00,61.82,0,0,0,0,UR SERR PLAYA S 6R 0005
